編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLLKQHOFFCA97CC,坡道平面,3500,34.72,
RPUOMLMKQHOFFCA68CC,坡道機械,0,22.62,
RPRPMLMKQHOFFEA68CC,坡道平面,0,,
RPRPMLMKQHOFFEA68CC,坡道平面,0,,
RPOOMLMKQHOFFBA97CC,升降平面,0,10.37,
RPUOMLMKQHOFFFA98CC,坡道平面,0,23.33,
RPUOMLMKQHOFFFA98CC,坡道平面,0,23.33,
RPUOMLMKQHOFFFA98CC,坡道平面,0,23.33,
RPWOMLNKQHOFFDA09CC,塔式車位,5000,7.09,
RPQPMLNKQHOFFDA58CC,坡道平面,0,24.82,
RPQPMLNKQHOFFCA48CC,坡道平面,0,,
RPSPMLOKQHOFFCA78CC,坡道機械,0,13.27,
RPXOMLOKQHOFFCA56CC,坡道平面,0,,
RPTPMLOKQHOFFCA88CC,坡道平面,0,39.42,
RPRRMLOKQHOFFCA88CC,坡道平面,0,32.14,
RPOOMLOKQHOFFEA48CC,坡道平面,0,37.45,
RPTNMLPKQHOFFFA09CC,坡道平面,0,,
RPPOMLPKQHOFFFA78CC,坡道平面,0,24.80,
RPPOMLPKQHOFFFA78CC,坡道平面,0,24.80,
RPUOMLPKQHOFFFA66CC,坡道平面,0,24.80,
RPUOMLPKQHOFFFA66CC,坡道平面,0,24.80,
RPVNMLPKQHOFFDA09CC,升降機械,0,18.20,
RPTOMLPKQHOFFCA88CC,坡道平面,0,31.40,
RPSPMLPKQHOFFCA88CC,坡道平面,0,35.51,
RPRQMLQKQHOFFCA98CC,坡道平面,0,25.44,
RPWRMLQKQHOFFCA96CC,坡道平面,0,,
RPWRMLQKQHOFFCA96CC,坡道平面,0,,
RPWRMLQKQHOFFCA96CC,坡道平面,0,,
RPWRMLQKQHOFFCA96CC,坡道平面,0,,
RPWRMLQKQHOFFCA96CC,坡道平面,0,,
RPWRMLQKQHOFFCA96CC,坡道平面,0,,
RPWRMLQKQHOFFCA96CC,坡道平面,0,,
RPWRMLQKQHOFFCA96CC,坡道平面,0,,
RPWPMLQKQHOFFDA86CC,升降機械,0,18.35,
RPVNMLQKQHOFFEA66CC,坡道平面,0,,
RPWNMLQKQHOFFEA76CC,坡道平面,0,.93,
RPPNMLRKQHOFFDA68CC,坡道平面,0,,
RPRNMLSKQHOFFAA68CC,坡道機械,0,37.99,
RPQOMLTKQHOFFDA09CC,坡道機械,0,15.13,
RPSPMLTKQHOFFEA86CC,坡道平面,0,,
RPSPMLTKQHOFFEA86CC,升降機械,0,,
RPSPMLTKQHOFFEA86CC,升降機械,0,,
RPTPMLTKQHOFFEA96CC,坡道平面,0,,
RPTPMLTKQHOFFEA96CC,坡道平面,0,,
RPTNMLKLQHOFFDA48CC,坡道機械,0,11.41,
